Gauging_station,Water_Level_Xt_1,24HrRF_Xt_1,Water_Level_Xt
1,2.9,,1.5
2,5,23.2,3.71
3,12.68,44.3,11.05
4,1.6,51.7,1.81
5,1.28,81.2,0.87
6,1.31,78.7,1.1
7,0.63,18.6,0.61
8,2.3,12.1,2.36
9,8.1,72.3,7.92
10,3.56,46.3,2.41
11,3.72,28.1,2.65
12,5.93,45.1,5.9
13,2.36,8.1,2.2
14,2.26,22.1,1.99
15,1,8.6,0.85
16,4.1,6,3.44
17,1.31,13.1,0.93
18,0.67,12.5,0.42
19,1.05,8.4,0.93
20,0.35,0.7,0.37
21,0.61,1.6,0.55
22,1.16,4.8,1.17
23,-0.12,0,-0.13
24,0.63,0,0.62
25,0.38,0,0.36
26,0.07,0,0.07
27,-0.02,0,-0.09
28,-3.26,0,
29,2.02,7.6,2.24
30,1.41,29.7,1.29
31,0.2,30.5,0.2
32,1.3,0,1.38
33,0.5,0,0.5
34,1,0,
35,0.22,0,
36,0.6,45,0.58
37,3.73,39.4,3.26
38,2.65,69,2.02
39,4.06,69.3,3.75
40,2.3,,1.9
41,4.02,15.2,3.9
42,11.84,24.7,11.73
43,1.71,46.1,1.94
44,1.67,41.7,1.33
45,1.34,32.1,1.46
46,1.14,39,0.96
47,2.41,9.8,2.66
48,8.52,14.7,8.63
49,5.72,32.9,4.78
50,4.29,28.1,3.92
51,6.4,8.8,6.56
52,3.17,37,3.16
53,2.97,30.2,2.46
54,1.06,5.8,1.05
55,4.68,29.4,4.27
56,1.61,9.4,1.32
57,0.97,27.2,0.7
58,1.17,3.4,1.02
59,0.63,18.3,0.46
60,0.73,6.8,0.69
61,1.34,16.2,1.28
62,-0.01,12,-0.03
63,0.77,2.4,0.66
64,0.42,1.1,0.38
65,0.08,3.1,0.07
66,-0.02,0,-0.01
67,-3.27,0.8,
68,2.57,13.9,2.4
69,1.89,39.2,1.93
70,0.24,2.8,0.26
71,1.25,1,1.38
72,0.53,7.6,0.54
73,1.22,19,
74,1.62,73.5,
75,0.9,38.5,0.98
76,3.48,16.1,3.42
77,2.49,18.8,2.28
78,3.3,24.9,3.2
